,index,postId,Score,UserId,CommentCount,Reputation,Views,UpVotes,DownVotes
0,0,1,23,55746,1,6764,1089,604,25
1,1,16,16,55746,3,6764,1089,604,25
2,2,36,41,55746,7,6764,1089,604,25
3,3,65,14,55746,3,6764,1089,604,25
4,4,78,33,55746,4,6764,1089,604,25
5,5,111,8,55746,3,6764,1089,604,25
6,6,114,30,55746,1,6764,1089,604,25
7,7,129,4,55746,0,6764,1089,604,25
8,8,142,5,55746,0,6764,1089,604,25
9,9,168,17,55746,1,6764,1089,604,25
10,10,170,56,55746,1,6764,1089,604,25
11,11,254,4,55746,3,6764,1089,604,25
12,12,262,13,55746,7,6764,1089,604,25
13,13,271,7,55746,0,6764,1089,604,25
14,14,301,6,55746,7,6764,1089,604,25
15,15,352,1,55746,1,6764,1089,604,25
16,16,356,2,55746,0,6764,1089,604,25
17,17,397,5,55746,0,6764,1089,604,25
18,18,412,4,55746,0,6764,1089,604,25
19,19,432,96,55746,1,6764,1089,604,25
20,20,845,5,55746,4,6764,1089,604,25
21,21,851,4,55746,0,6764,1089,604,25
22,22,855,1,55746,0,6764,1089,604,25
23,23,895,2,55746,0,6764,1089,604,25
24,24,975,2,55746,0,6764,1089,604,25
25,25,978,3,55746,0,6764,1089,604,25
26,26,981,6,55746,11,6764,1089,604,25
27,27,1010,8,55746,0,6764,1089,604,25
28,28,1131,4,55746,0,6764,1089,604,25
29,29,1132,4,55746,1,6764,1089,604,25
30,30,1173,13,55746,5,6764,1089,604,25
31,31,1177,5,55746,0,6764,1089,604,25
32,32,1185,20,55746,3,6764,1089,604,25
33,33,1220,3,55746,0,6764,1089,604,25
34,34,1231,1,55746,0,6764,1089,604,25
35,35,1251,15,55746,4,6764,1089,604,25
36,36,1291,11,55746,5,6764,1089,604,25
37,37,1364,6,55746,1,6764,1089,604,25
38,38,1438,1,55746,1,6764,1089,604,25
39,39,1494,3,55746,0,6764,1089,604,25
40,40,1496,11,55746,0,6764,1089,604,25
41,41,1529,8,55746,2,6764,1089,604,25
42,42,1537,7,55746,3,6764,1089,604,25
43,43,1549,2,55746,0,6764,1089,604,25
44,44,1588,4,55746,1,6764,1089,604,25
45,45,1598,40,55746,4,6764,1089,604,25
46,46,1664,0,55746,4,6764,1089,604,25
47,47,1665,4,55746,1,6764,1089,604,25
48,48,1695,4,55746,0,6764,1089,604,25
49,49,1716,1,55746,1,6764,1089,604,25
50,50,1741,15,55746,0,6764,1089,604,25
51,51,1755,2,55746,1,6764,1089,604,25
52,52,1771,4,55746,1,6764,1089,604,25
53,53,1782,2,55746,1,6764,1089,604,25
54,54,1816,7,55746,5,6764,1089,604,25
55,55,1820,2,55746,0,6764,1089,604,25
56,56,1842,10,55746,4,6764,1089,604,25
57,57,1897,2,55746,1,6764,1089,604,25
58,58,1993,7,55746,0,6764,1089,604,25
59,59,2348,15,55746,4,6764,1089,604,25
60,60,2407,2,55746,0,6764,1089,604,25
61,61,2422,6,55746,0,6764,1089,604,25
62,62,2560,6,55746,1,6764,1089,604,25
63,63,2673,6,55746,3,6764,1089,604,25
64,64,2699,4,55746,2,6764,1089,604,25
65,65,3085,6,55746,4,6764,1089,604,25
66,66,3106,3,55746,0,6764,1089,604,25
67,67,3107,6,55746,0,6764,1089,604,25
68,68,3108,9,55746,4,6764,1089,604,25
69,69,3138,18,55746,0,6764,1089,604,25
