,index,id,dataReferencia,municipio,tipo,valor,quantidadeBeneficiados
0,nomeIBGE,71505056,01/01/2018,RIO BRANCO,,4877303.0,23418
0,nomeIBGE,70202252,01/02/2018,RIO BRANCO,,4907869.0,23588
0,nomeIBGE,74602878,01/03/2018,RIO BRANCO,,4922561.0,23747
0,nomeIBGE,69102980,01/04/2018,RIO BRANCO,,4717363.0,22638
0,nomeIBGE,65303253,01/05/2018,RIO BRANCO,,4781556.0,22921
0,nomeIBGE,74903925,01/06/2018,RIO BRANCO,,4692864.0,22394
0,nomeIBGE,68304225,01/07/2018,RIO BRANCO,,4949537.0,22373
0,nomeIBGE,68203945,01/08/2018,RIO BRANCO,,4958168.0,22462
0,nomeIBGE,71804151,01/09/2018,RIO BRANCO,,4863685.0,21862
0,nomeIBGE,73404939,01/10/2018,RIO BRANCO,,5014879.0,22426
0,nomeIBGE,69002081,01/11/2018,RIO BRANCO,,5239326.0,22995
0,nomeIBGE,70202343,01/12/2018,RIO BRANCO,,5320478.0,23243
0,nomeIBGE,74803530,01/01/2018,MACEIÓ,,8653421.0,58515
0,nomeIBGE,62803801,01/02/2018,MACEIÓ,,8746056.0,59337
0,nomeIBGE,74304098,01/03/2018,MACEIÓ,,8815613.0,59822
0,nomeIBGE,74604668,01/04/2018,MACEIÓ,,8453319.0,56869
0,nomeIBGE,74905232,01/05/2018,MACEIÓ,,8665739.0,57886
0,nomeIBGE,63705061,01/06/2018,MACEIÓ,,8771015.0,58607
0,nomeIBGE,64602429,01/07/2018,MACEIÓ,,9368305.0,59464
0,nomeIBGE,65902490,01/08/2018,MACEIÓ,,9618476.0,60896
0,nomeIBGE,67802690,01/09/2018,MACEIÓ,,9326828.0,58829
0,nomeIBGE,71003692,01/10/2018,MACEIÓ,,9501447.0,59457
0,nomeIBGE,69903845,01/11/2018,MACEIÓ,,9859826.0,60531
0,nomeIBGE,66103490,01/12/2018,MACEIÓ,,9734973.0,59006
0,nomeIBGE,69603062,01/01/2018,MACAPÁ,,5523907.0,30221
0,nomeIBGE,73603900,01/02/2018,MACAPÁ,,5546807.0,30737
0,nomeIBGE,67803855,01/03/2018,MACAPÁ,,5594530.0,30924
0,nomeIBGE,72104121,01/04/2018,MACAPÁ,,5537960.0,30532
0,nomeIBGE,71004457,01/05/2018,MACAPÁ,,5683949.0,30994
0,nomeIBGE,73604917,01/06/2018,MACAPÁ,,5745301.0,31390
0,nomeIBGE,72805297,01/07/2018,MACAPÁ,,6150846.0,31802
0,nomeIBGE,64902247,01/08/2018,MACAPÁ,,6209407.0,32171
0,nomeIBGE,68602512,01/09/2018,MACAPÁ,,6015809.0,31157
0,nomeIBGE,68102791,01/10/2018,MACAPÁ,,6220012.0,31450
0,nomeIBGE,65602894,01/11/2018,MACAPÁ,,6171990.0,31565
0,nomeIBGE,71803357,01/12/2018,MACAPÁ,,6099325.0,30596
0,nomeIBGE,64304068,01/01/2018,MANAUS,,18365479.0,120224
0,nomeIBGE,71303781,01/02/2018,MANAUS,,18372454.0,121121
0,nomeIBGE,69604853,01/03/2018,MANAUS,,18462162.0,121844
0,nomeIBGE,74304717,01/04/2018,MANAUS,,18009145.0,118802
0,nomeIBGE,75405112,01/05/2018,MANAUS,,18362866.0,120944
0,nomeIBGE,75305370,01/06/2018,MANAUS,,18594718.0,122271
0,nomeIBGE,68402378,01/07/2018,MANAUS,,19807762.0,123892
0,nomeIBGE,65402931,01/08/2018,MANAUS,,20029406.0,125454
0,nomeIBGE,73603377,01/09/2018,MANAUS,,19831197.0,123683
0,nomeIBGE,68703207,01/10/2018,MANAUS,,20081617.0,125398
0,nomeIBGE,67603962,01/11/2018,MANAUS,,20698454.0,126848
0,nomeIBGE,68703879,01/12/2018,MANAUS,,20481682.0,124134
0,nomeIBGE,75903811,01/01/2018,SALVADOR,,26635797.0,181903
0,nomeIBGE,68304323,01/02/2018,SALVADOR,,27157084.0,185826
0,nomeIBGE,70304317,01/03/2018,SALVADOR,,27128113.0,186182
0,nomeIBGE,74104799,01/04/2018,SALVADOR,,25626967.0,175452
0,nomeIBGE,68104953,01/05/2018,SALVADOR,,25700855.0,175917
0,nomeIBGE,72305415,01/06/2018,SALVADOR,,26022860.0,178188
0,nomeIBGE,62802723,01/07/2018,SALVADOR,,27299510.0,176745
