Date,Rain_mm
10/1/2017,0
10/2/2017,0
10/3/2017,1.1
10/4/2017,0
10/5/2017,1.2
10/6/2017,0.7
10/7/2017,0
10/8/2017,0.1
10/9/2017,0
10/10/2017,0
10/11/2017,0
10/12/2017,0.1
10/13/2017,0
10/14/2017,1.2
10/15/2017,0.8
10/16/2017,0.2
10/17/2017,1.8
10/18/2017,55.6
10/19/2017,7.2
10/20/2017,0
10/21/2017,0
10/22/2017,0
10/23/2017,0
10/24/2017,0.9
10/25/2017,1.6
10/26/2017,0
10/27/2017,1.5
10/28/2017,0
10/29/2017,0
10/30/2017,0
10/31/2017,0
11/1/2017,0
11/2/2017,0.7
11/3/2017,61.9
11/4/2017,4.5
11/5/2017,0
11/6/2017,0
11/7/2017,0
11/8/2017,0
11/9/2017,0
11/10/2017,0
11/11/2017,0.8
11/12/2017,0
11/13/2017,0
11/14/2017,1.1
11/15/2017,0
11/16/2017,2.5
11/17/2017,2.4
11/18/2017,0
11/19/2017,0
11/20/2017,0
11/21/2017,0
11/22/2017,0
11/23/2017,0
11/24/2017,0
11/25/2017,3
11/26/2017,0.4
11/27/2017,0
11/28/2017,0
11/29/2017,0
11/30/2017,0
12/1/2017,0
12/2/2017,0
12/3/2017,0
12/4/2017,0
12/5/2017,0
12/6/2017,0
12/7/2017,0
12/8/2017,0
12/9/2017,0
12/10/2017,50.3
12/11/2017,15.1
12/12/2017,0.1
12/13/2017,0
12/14/2017,0
12/15/2017,0
12/16/2017,0.2
12/17/2017,4.4
12/18/2017,11
12/19/2017,0
12/20/2017,1.3
12/21/2017,0.1
12/22/2017,0.5
12/23/2017,0
12/24/2017,0
12/25/2017,0
12/26/2017,0
12/27/2017,0
12/28/2017,0
12/29/2017,0
12/30/2017,0
12/31/2017,0
1/1/2018,1
1/2/2018,2
1/3/2018,3
1/4/2018,4
1/5/2018,5
1/6/2018,6
1/7/2018,7
1/8/2018,8
1/9/2018,9
1/10/2018,10
1/11/2018,11
1/12/2018,12
1/13/2018,13
1/14/2018,14
1/15/2018,15
1/16/2018,16
1/17/2018,17
1/18/2018,18
1/19/2018,19
1/20/2018,20
1/21/2018,21
1/22/2018,22
1/23/2018,23
1/24/2018,24
1/25/2018,25
1/26/2018,26
1/27/2018,27
1/28/2018,28
1/29/2018,29
1/30/2018,30
1/31/2018,31
2/1/2018,0
2/2/2018,0
2/3/2018,0
2/4/2018,0
2/5/2018,0
2/6/2018,0
2/7/2018,0
2/8/2018,0
2/9/2018,4.6
2/10/2018,19.4
2/11/2018,3.2
2/12/2018,0.2
2/13/2018,0.7
2/14/2018,2.6
2/15/2018,0
2/16/2018,0
2/17/2018,4
2/18/2018,4.9
2/19/2018,3
2/20/2018,0
2/21/2018,0
2/22/2018,0
2/23/2018,0
2/24/2018,24.5
2/25/2018,0
2/26/2018,1.4
2/27/2018,9
2/28/2018,0
3/1/2018,0
3/2/2018,0
3/3/2018,0
3/4/2018,0
3/5/2018,0
3/6/2018,0
3/7/2018,0
3/8/2018,0
3/9/2018,0
3/10/2018,0.8
3/11/2018,23
3/12/2018,0
3/13/2018,8.8
3/14/2018,1.4
3/15/2018,2.3
3/16/2018,6.7
3/17/2018,0
3/18/2018,9
3/19/2018,1
3/20/2018,0.4
3/21/2018,0.2
3/22/2018,0.2
3/23/2018,0
3/24/2018,0
3/25/2018,0
3/26/2018,0
3/27/2018,0
3/28/2018,0
3/29/2018,10.6
3/30/2018,1
3/31/2018,0
4/1/2018,0
4/2/2018,0
4/3/2018,1.2
4/4/2018,0
4/5/2018,0
4/6/2018,0
4/7/2018,0
4/8/2018,55.2
4/9/2018,0
4/10/2018,0
4/11/2018,0
4/12/2018,0
4/13/2018,20.8
4/14/2018,0
4/15/2018,0
4/16/2018,0
4/17/2018,0
4/18/2018,1
4/19/2018,0
4/20/2018,0
4/21/2018,37.3
4/22/2018,51
4/23/2018,0.1
4/24/2018,12.6
4/25/2018,50
4/26/2018,3.1
4/27/2018,0
4/28/2018,9.1
4/29/2018,0.2
4/30/2018,2.3
5/1/2018,0
5/2/2018,0
5/3/2018,0
5/4/2018,3.3
5/5/2018,0
5/6/2018,0
5/7/2018,0
5/8/2018,0
5/9/2018,0
5/10/2018,0.7
5/11/2018,9.6
5/12/2018,6.7
5/13/2018,3.6
5/14/2018,16
5/15/2018,14.6
5/16/2018,0.3
5/17/2018,0
5/18/2018,5.8
5/19/2018,8.2
5/20/2018,42.5
5/21/2018,45.9
5/22/2018,29.5
5/23/2018,0
5/24/2018,1.2
